,GEOID,NAME,RiskFactor1_percent,IncomePoverty_ratio,Total,Occupants_Above1,Occupants_Above1_point5,Married_Above65,NoSpouse_MaleHH_Above65,NoSpouse_FemaleHH_Above65,Living_Alone,RiskFactor3_percent,RiskFactor2_percent,LanguageBarrier_Total,RiskFactor4a_percent,EducationalBarrier_Total,RiskFactor4b_percent,Above16_Unemployed_Total,RiskFactor5_percent,Disability_Total,RiskFactor6_percent,Total_Uninsured,RiskFactor7_percent,pop_64above_total,RiskFactor8_percent
916,17031828702,"Census Tract 8287.02, Cook County, Illinois",23.3,2.395264117,1642,27,0,281,21,40,416,1.644336175,46.16321559,35,2.1,294,8.300395257,297,7.8,582,12.3,315,6.7,452,9.273697169
917,17031830001,"Census Tract 8300.01, Cook County, Illinois",22.8,2.151639344,1082,0,10,156,10,60,460,0.924214418,63.40110906,11,1,262,13.43589744,51,2.6,383,16.7,109,4.7,284,12.34782609
918,17031819500,"Census Tract 8195, Cook County, Illinois",12.3,3.957103825,1374,27,0,134,9,25,686,1.965065502,62.15429403,11,0.8,190,7.355787844,39,1.5,364,11.4,28,0.9,179,5.319465082
919,17031460700,"Census Tract 4607, Cook County, Illinois",52.2,1.11643898,925,9,9,71,18,59,219,1.945945946,39.67567568,172,18.6,516,30.3172738,302,17.1,242,9.1,250,9.4,80,3.017729159
920,17031491000,"Census Tract 4910, Cook County, Illinois",51.8,1.114799636,1009,40,0,67,24,121,449,3.96432111,65.51040634,9,0.9,682,26.77659992,556,21,483,14.2,120,3.5,180,5.281690141
921,17031821900,"Census Tract 8219, Cook County, Illinois",12.6,3.754553734,1729,29,0,132,28,50,514,1.677270098,41.87391556,41,2.4,227,5.859576665,125,3.1,516,10.6,263,5.4,262,5.195320246
922,17031823602,"Census Tract 8236.02, Cook County, Illinois",16.6,3.057513661,2812,58,21,420,20,99,1123,2.809388336,59.10384068,34,1.2,376,6.714285714,89,1.6,980,16.4,142,2.4,669,10.65286624
923,17031824108,"Census Tract 8241.08, Cook County, Illinois",12.5,4.281420765,2689,47,18,272,9,78,540,2.417255485,33.43250279,24,0.9,417,6.808163265,127,2,740,9.2,216,2.7,376,4.641402296
924,17031818800,"Census Tract 8188, Cook County, Illinois",12.6,4.222176685,2029,22,0,61,19,60,656,1.084277969,39.23114835,42,2.1,139,3.747640874,103,2.6,571,10.9,130,2.5,226,4.312977099
925,17031191100,"Census Tract 1911, Cook County, Illinois",24.5,2.341575592,2016,142,0,75,0,71,451,7.043650794,29.61309524,353,17.5,1107,24.36179577,128,2.6,678,9.8,1011,14.6,200,2.887252779
926,17031230400,"Census Tract 2304, Cook County, Illinois",27.9,2.625500911,661,52,0,65,0,23,124,7.866868381,32.07261725,131,19.8,422,25.48309179,171,10,219,10.5,479,22.9,111,5.311004785
927,17031242900,"Census Tract 2429, Cook County, Illinois",4.8,4.609107468,814,10,0,11,0,9,267,1.228501229,35.25798526,46,5.7,55,3.671562083,5,0.3,126,7,84,4.7,21,1.164725458
928,17031570400,"Census Tract 5704, Cook County, Illinois",25.1,1.927686703,521,29,4,51,5,4,184,6.333973129,46.83301344,115,22.1,356,29.34872218,74,5.9,157,9.6,138,8.4,135,8.231707317
929,17031822302,"Census Tract 8223.02, Cook County, Illinois",24.7,2.500182149,1518,14,0,143,15,44,503,0.92226614,46.44268775,133,8.8,509,15.30827068,88,2.6,512,13.2,423,10.9,272,6.597138006
930,17031823903,"Census Tract 8239.03, Cook County, Illinois",10.8,4.044581056,1658,21,0,385,6,64,330,1.266586248,47.34620024,0,0,220,6.062276109,150,4,589,13.5,156,3.6,442,9.673889254
931,17031825600,"Census Tract 8256, Cook County, Illinois",18.3,2.229826958,1658,98,0,150,25,112,389,5.910735826,40.77201448,30,1.8,505,13.31049025,357,9.2,700,13.3,333,6.3,259,4.938036225
932,17031828401,"Census Tract 8284.01, Cook County, Illinois",14.3,3.24845173,1500,16,33,117,6,21,479,3.266666667,41.53333333,50,3.3,103,3.640862496,91,3.1,294,8.1,148,4.1,156,4.279835391
933,17031827901,"Census Tract 8279.01, Cook County, Illinois",16.8,3.785291439,844,0,0,187,16,6,235,0,52.60663507,4,0.5,241,12.25839268,134,6.7,291,13.6,110,5.1,321,13.61900721
934,17031081100,"Census Tract 811, Cook County, Illinois",23.9,3.533925319,2782,18,14,154,0,0,1754,1.150251618,68.5837527,61,2.2,145,3.637732062,113,2.8,415,9.9,91,2.2,305,7.261904762
935,17031110300,"Census Tract 1103, Cook County, Illinois",12.6,3.762932605,1936,21,8,186,41,55,551,1.497933884,43.0268595,112,5.8,460,11.0709988,94,2.2,638,12,460,8.6,411,7.70962296
936,17031190200,"Census Tract 1902, Cook County, Illinois",21,2.679918033,1614,40,15,101,8,36,340,3.407682776,30.04956629,350,21.7,1196,27.98970278,187,4.2,407,7,799,13.7,199,3.40870161
937,17031221300,"Census Tract 2213, Cook County, Illinois",22.6,3.251457195,1270,46,33,50,17,0,445,6.220472441,40.31496063,166,13.1,243,9.87804878,51,2.1,139,4.8,385,13.4,85,2.952414033
938,17031251200,"Census Tract 2512, Cook County, Illinois",26,2.076958106,1086,18,0,87,74,104,287,1.657458564,50.82872928,0,0,738,24.7983871,330,10.7,836,22,418,11,164,4.307853953
939,17031282800,"Census Tract 2828, Cook County, Illinois",26.8,2.650409836,655,0,0,24,20,8,204,0,39.08396947,47,7.2,67,4.834054834,72,5.1,111,6.9,68,4.2,54,3.360298693
940,17031260600,"Census Tract 2606, Cook County, Illinois",48.1,1.241939891,536,65,0,33,11,46,93,12.12686567,34.14179104,0,0,482,36.13193403,282,20.7,444,22,253,12.5,102,5.054509415
941,17031710700,"Census Tract 7107, Cook County, Illinois",55.5,0.88647541,1333,0,36,108,0,46,702,2.700675169,64.21605401,0,0,450,18.01441153,177,6.9,550,17.2,135,4.2,325,10.18170426
942,17031710900,"Census Tract 7109, Cook County, Illinois",38.4,1.46010929,761,0,12,22,29,23,279,1.576872536,46.38633377,0,0,171,12.23175966,169,11.6,218,11.1,149,7.6,106,5.37525355
943,17031711400,"Census Tract 7114, Cook County, Illinois",20.5,1.980874317,814,35,0,102,27,46,199,4.2997543,45.94594595,0,0,263,14.0491453,111,5.6,398,15.5,216,8.4,199,7.737169518
944,17031720300,"Census Tract 7203, Cook County, Illinois",11,5.261202186,1335,0,0,191,6,126,245,0,42.54681648,0,0,59,1.929365598,70,2.2,308,7.8,93,2.4,227,5.77755154
945,17031730300,"Census Tract 7303, Cook County, Illinois",29.1,2.184380692,400,5,4,33,19,23,168,2.25,60.75,0,0,143,17.22891566,58,6.5,154,14,66,6,69,6.255666364
946,17031740100,"Census Tract 7401, Cook County, Illinois",15.4,4.244854281,1149,13,0,91,0,81,310,1.131418625,41.94952132,0,0,160,6.899525658,136,5.8,322,10.3,58,1.8,144,4.591836735
947,17031828802,"Census Tract 8288.02, Cook County, Illinois",4.4,3.347449909,1179,62,0,105,0,91,287,5.258693808,40.96692112,22,1.9,201,7.814930016,95,3.6,333,10.3,256,7.9,263,8.134859264
948,17031241500,"Census Tract 2415, Cook County, Illinois",7.8,6.465528233,1308,0,0,20,0,0,417,0,33.40978593,0,0,65,2.657399836,45,1.8,76,2.7,77,2.8,21,0.752418488
949,17031060200,"Census Tract 602, Cook County, Illinois",10.1,3.806830601,1113,0,38,9,0,5,545,3.414195867,50.22461815,68,6.1,121,6.391970417,43,2.2,109,4.8,285,12.7,71,3.158362989
950,17031061000,"Census Tract 610, Cook County, Illinois",10.2,5.042759563,1113,0,26,6,0,0,442,2.336028751,40.25157233,9,0.8,30,1.433349259,55,2.6,98,4.5,56,2.5,15,0.68119891
951,17031062400,"Census Tract 624, Cook County, Illinois",12.3,6.097313297,737,0,0,6,19,20,252,0,40.29850746,7,0.9,78,5.886792453,23,1.7,181,11.5,10,0.6,67,4.264799491
